,0
1727,SMFL
1728,BGT
1729,VIS
1730,CGNX
1731,VEEE
1732,ICG
1733,GRRR
1734,PRFT
1735,FLFVU
1736,LINC
1737,RCLFW
1738,RILYG
1739,MORE
1740,DBMF
1741,BGY
1742,GJS
1743,UBP$K
1744,FDX
1745,RWOD
1746,XRLV
1747,MRAM
1748,EMFM
1749,KNOP
1750,CARA
1751,ALRN
1752,MGPI
1753,ITRM
1754,NTSI
1755,WEX
1756,SLDP
1757,MTA
1758,SECO
1759,IDEX
1760,RIG
1761,CTEST.E
1762,PMT$A
1763,SBSW
1764,FRBNU
1765,JBI
1766,BPTH
1767,NVIR
1768,TMST
1769,UMC
1770,APRQ
1771,OVLH
1772,GDXU
1773,XTOC
1774,PEPLU
1775,AP.W
1776,PTMN
1777,DISTR
1778,PGRWW
1779,PEB$H
1780,CYCCP
1781,USAS
1782,REW
1783,OWLT.W
1784,ONB
1785,MZZ
1786,WYY
1787,TWIN
1788,FIXX
1789,THYF
1790,JMSB
1791,QLGN
1792,WRAC
1793,OUSM
1794,BYND
1795,ZTAQU
1796,FHLTU
1797,GDO
1798,CLIR
1799,GDYN
1800,BUR
1801,JSPR
1802,GAMC
1803,MS$K
1804,ASHX
1805,ATEST.B
1806,UIS
1807,SCJ
1808,PMAY
1809,INDIW
1810,FEHY
1811,CFFSU
1812,FXN
1813,EVTV
1814,CWT
1815,SIFY
1816,MMLP
1817,KF
1818,HMPT
1819,PSPC.U
1820,AVUS
1821,TPIC
1822,EVGO
1823,IRWD
1824,EMB
1825,RVSB
1826,ASTSW
1827,ADI
1828,LPRO
1829,WPC
1830,YELP
1831,LBTYK
1832,HGEN
1833,BCS
1834,CLRCR
1835,ETD
1836,VRIG
1837,RENEU
1838,LSXMK
1839,SLRC
1840,APGB.W
1841,CTOS.W
1842,GLDX
1843,GGAAU
1844,PFFL
1845,IHI
1846,REVG
1847,XOMAP
1848,ATAT
1849,GRCL
1850,PFIS
1851,KLR.W
1852,CACC
1853,UNTY
1854,PAYX
1855,CTO
1856,JWSM.U
1857,ZYNE
1858,SFIG
1859,HFBL
1860,ASTC
1861,BANX
1862,AAPB
1863,PPIE
1864,AGM.A
1865,FLAG.W
1866,LVHD
1867,NNAVW
1868,STEP
1869,DHACU
1870,CVAC
1871,NTIC
1872,IVLU
1873,LDSF
1874,CTSO
1875,GBRGU
1876,PBL
1877,OVID
1878,DHCAU
1879,NSYS
1880,PGRE
1881,NVTS
1882,VVPR
1883,ALB
1884,FEXDU
1885,DFEM
1886,EFR
1887,GFOR.U
1888,ENTFU
1889,HALO
1890,BSCR
1891,LGVC
1892,ROCL
1893,ONBPP
1894,FAN
1895,FIDU
1896,IGT
1897,TRNS
1898,DPSI
1899,SLAMW
1900,DFEN
1901,RIGL
1902,WNDY
1903,BKHY
1904,WULF
1905,GFGF
1906,GNPX
1907,AOGO
1908,LEVI
1909,SMDD
1910,TYO
1911,TCBK
1912,EGGF.W
1913,NRIM
1914,SLNA
1915,NVX
1916,SAFE
1917,HEWG
1918,HOM
1919,PKX
1920,PSA$Q
1921,EIS
1922,M
1923,JAAA
1924,SQFT
